"Gene_ID","Gene_name","Fourier_score","P_value","FDR"
"YER153C","PET122",2.99673092096809,0.54589,0.659373595505618
"YER154W","OXA1",8.18420645383719,0.00153,0.0105588888888889
"YER155C","BEM2",6.78252594261294,0.01941,0.0655879830917874
"YER156C","YER156C",2.79334886487621,0.5965,0.697983845992886
"YER157W","COG3",4.23172662558358,0.30596,0.45976247311828
"YER158C","YER158C",6.17816658417454,0.04767,0.128421831325301
"YER159C","BUR6",3.87245140945845,0.36034,0.506614839034205
"YER161C","SPT2",0.738401790469821,0.96635,0.975046922938098
"YER162C","RAD4",5.98500769298551,0.05471,0.141559898242368
"YER163C","YER163C",4.49682076723438,0.25961,0.41295409556314
"YER164W","CHD1",5.69117996712573,0.08976,0.200734866053579
"YER165W","PAB1",5.51914311653234,0.10607,0.226742370936902
"YER166W","DNF1",7.64179327029303,0.00442,0.0224005439709882
"YER167W","BCK2",8.36182742296858,0.00091,0.00737231884057971
"YER168C","CCA1",2.07415024279076,0.75786,0.82006144018583
"YER169W","RPH1",1.83401451471335,0.80783,0.857370362635276
"YER170W","ADK2",9.21493868235675,0,0
"YER171W","RAD3",1.92715260881894,0.7829,0.838392911877395
"YER172C","BRR2",3.18374799657693,0.50669,0.627241076173605
"YER173W","RAD24",2.3516700662035,0.71655,0.78957510348906
"YER174C","GRX4",8.07146601762777,0.00052,0.00517224199288256
"YER175C","TMT1",1.56968455742501,0.84978,0.886327873134328
"YER175W-A","YER175W-A",7.3456418677191,0.00577,0.0271729570345409
"YER176W","ECM32",3.78028367727044,0.38877,0.531213929618768
"YER177W","BMH1",1.71123419158299,0.82449,0.869603603773585
"YER178W","PDA1",3.57012640463171,0.44281,0.576994848484848
"YER180C-A","SLO1",3.13628574136974,0.53614,0.652519616808186
"YER182W","FMP10",8.24834296864565,0.00055,0.00539385964912281
"YER183C","FAU1",1.37077142407998,0.88579,0.914754498429706
"YER184C","YER184C",3.29682961696848,0.49052,0.616773391812866
"YER186C","YER186C",4.21736509015928,0.29261,0.447276428766749
"YER187W","YER187W",7.05039817962499,0.01341,0.0502089082384461
"YER188C-A","YER188C-A",3.29578157095893,0.49147,0.617513441222747
"YFL056C","AAD6",4.46639171475422,0.25612,0.410226897737038
"YFL055W","AGP3",2.64176351047277,0.63283,0.726608153624974
"YFL054C","YFL054C",7.96070192160401,0.00236,0.0144336980306346
"YFL050C","ALR2",7.64004442702554,0.00444,0.0224408679927667
"YFL049W","SWP82",1.67347538714512,0.83087,0.873656968215159
"YFL048C","EMP47",2.58222536030112,0.65405,0.743571181614806
"YFL047W","RGD2",6.97310204052685,0.0118,0.0459345403899721
"YFL046W","FMP32",6.87298175247963,0.02004,0.0671067624177139
"YFL045C","SEC53",7.81866696324794,0.00373,0.0200294908741595
